init_magnet,length,Magnetization_mean,Magnetization_min,Magnetization_max,Magnetization_std,SpinGlass
0.0,2,0.01171875,0.0078125,0.015625,0.00390625,-0.078125
0.0,2,0.01953125,0.015625,0.0234375,0.00390625,-0.0546875
0.0,2,0.03515625,0.03125,0.0390625,0.00390625,-0.03125
0.0,2,0.0234375,0.0234375,0.0234375,0.0,-0.015625
0.0,2,0.02734375,0.0234375,0.03125,0.00390625,-0.0546875
0.0,2,0.00390625,0.0,0.0078125,0.00390625,-0.0703125
0.0,2,0.01171875,0.0078125,0.015625,0.00390625,-0.046875
0.0,2,0.02734375,0.0234375,0.03125,0.00390625,-0.0859375
0.0,2,0.046875,0.0390625,0.0546875,0.0078125,-0.0703125
0.0,1,0.0234375,0.0234375,0.0234375,0.0,0.0078125
0.0,2,0.0078125,0.0078125,0.0078125,0.0,-0.015625
0.0,2,0.015625,0.0078125,0.0234375,0.0078125,0.0234375
0.0,2,0.02734375,0.0234375,0.03125,0.00390625,-0.0234375
0.0,2,0.00390625,0.0,0.0078125,0.00390625,-0.1484375
0.0,2,0.00390625,0.0,0.0078125,0.00390625,-0.1171875
0.0,2,0.00390625,0.0,0.0078125,0.00390625,-0.171875
0.0,2,0.02734375,0.0234375,0.03125,0.00390625,-0.03125
0.0,2,0.0078125,0.0,0.015625,0.0078125,-0.0390625
0.0,1,0.0078125,0.0078125,0.0078125,0.0,-0.0859375
0.0,2,0.01171875,0.0078125,0.015625,0.00390625,-0.0078125
0.0,1,0.0,0.0,0.0,0.0,0.015625
0.0,2,0.0078125,0.0078125,0.0078125,0.0,-0.0390625
0.0,2,0.02734375,0.0234375,0.03125,0.00390625,-0.03125
0.0,2,0.04296875,0.0390625,0.046875,0.00390625,-0.0546875
0.0,2,0.02734375,0.0234375,0.03125,0.00390625,-0.0546875
0.0,2,0.00390625,0.0,0.0078125,0.00390625,-0.015625
0.0,2,0.0078125,0.0,0.015625,0.0078125,-0.0859375
0.0,2,0.02734375,0.0234375,0.03125,0.00390625,-0.0859375
0.0,2,0.00390625,0.0,0.0078125,0.00390625,-0.0078125
0.0,2,0.01171875,0.0078125,0.015625,0.00390625,0.0078125
0.0,1,0.0078125,0.0078125,0.0078125,0.0,-0.046875
0.0,2,0.03125,0.03125,0.03125,0.0,0.0234375
0.0,2,0.01171875,0.0078125,0.015625,0.00390625,-0.0078125
0.0,2,0.01171875,0.0078125,0.015625,0.00390625,-0.0546875
0.0,2,0.00390625,0.0,0.0078125,0.00390625,-0.078125
0.0,2,0.03515625,0.03125,0.0390625,0.00390625,0.0078125
0.0,2,0.01953125,0.015625,0.0234375,0.00390625,-0.0625
0.0,1,0.046875,0.046875,0.046875,0.0,-0.1328125
0.0,2,0.00390625,0.0,0.0078125,0.00390625,-0.0234375
0.0,2,0.03515625,0.03125,0.0390625,0.00390625,-0.0859375
0.0,1,0.0390625,0.0390625,0.0390625,0.0,-0.1171875
0.0,2,0.0625,0.0546875,0.0703125,0.0078125,-0.046875
0.0,2,0.00390625,0.0,0.0078125,0.00390625,-0.015625
0.0,2,0.0546875,0.046875,0.0625,0.0078125,0.0078125
0.0,2,0.0078125,0.0078125,0.0078125,0.0,0.03125
0.0,2,0.00390625,0.0,0.0078125,0.00390625,-0.0703125
0.0,2,0.05078125,0.046875,0.0546875,0.00390625,-0.046875
0.0,2,0.04296875,0.0390625,0.046875,0.00390625,-0.078125
0.0,2,0.0234375,0.0234375,0.0234375,0.0,0.015625
0.0,1,0.046875,0.046875,0.046875,0.0,-0.015625
0.0,2,0.0078125,0.0078125,0.0078125,0.0,-0.03125
0.0,1,0.0,0.0,0.0,0.0,-0.109375
0.0,2,0.03515625,0.03125,0.0390625,0.00390625,0.0
0.0,2,0.0078125,0.0,0.015625,0.0078125,-0.0546875
0.0,2,0.00390625,0.0,0.0078125,0.00390625,-0.0625
0.0,2,0.01171875,0.0078125,0.015625,0.00390625,-0.0078125
0.0,2,0.01171875,0.0078125,0.015625,0.00390625,0.0
0.0,2,0.01171875,0.0078125,0.015625,0.00390625,-0.0859375
0.0,2,0.01171875,0.0078125,0.015625,0.00390625,-0.03125
0.0,2,0.01171875,0.0078125,0.015625,0.00390625,0.0
0.0,2,0.0078125,0.0078125,0.0078125,0.0,-0.0390625
0.0,2,0.01953125,0.015625,0.0234375,0.00390625,0.0625
0.0,2,0.0078125,0.0,0.015625,0.0078125,-0.0703125
0.0,2,0.015625,0.015625,0.015625,0.0,-0.0390625
0.0,2,0.0078125,0.0,0.015625,0.0078125,-0.0859375
0.0,2,0.0234375,0.0234375,0.0234375,0.0,-0.046875
0.0,2,0.03125,0.0234375,0.0390625,0.0078125,-0.0390625
0.0,2,0.0078125,0.0078125,0.0078125,0.0,-0.03125
0.0,2,0.046875,0.0390625,0.0546875,0.0078125,0.0
0.0,2,0.01953125,0.015625,0.0234375,0.00390625,-0.0234375
0.0,2,0.03125,0.03125,0.03125,0.0,0.015625
0.0,2,0.01953125,0.015625,0.0234375,0.00390625,-0.0078125
0.0,2,0.0,0.0,0.0,0.0,-0.0078125
0.0,2,0.02734375,0.0234375,0.03125,0.00390625,0.0
0.0,2,0.01171875,0.0078125,0.015625,0.00390625,-0.0234375
0.0,2,0.04296875,0.0390625,0.046875,0.00390625,-0.0234375
0.0,2,0.0390625,0.0390625,0.0390625,0.0,0.0078125
0.0,2,0.01953125,0.015625,0.0234375,0.00390625,-0.09375
0.0,2,0.01171875,0.0,0.0234375,0.01171875,-0.0390625
0.0,2,0.00390625,0.0,0.0078125,0.00390625,-0.09375
0.0,2,0.03515625,0.03125,0.0390625,0.00390625,-0.0234375
0.0,2,0.03515625,0.03125,0.0390625,0.00390625,-0.046875
0.0,2,0.015625,0.015625,0.015625,0.0,-0.0546875
0.0,2,0.01171875,0.0078125,0.015625,0.00390625,0.03125
0.0,2,0.00390625,0.0,0.0078125,0.00390625,0.0
0.0,2,0.05078125,0.046875,0.0546875,0.00390625,0.03125
0.0,1,0.015625,0.015625,0.015625,0.0,-0.078125
0.0,2,0.0390625,0.03125,0.046875,0.0078125,-0.046875
0.0,2,0.01953125,0.015625,0.0234375,0.00390625,-0.0703125
0.0,1,0.0546875,0.0546875,0.0546875,0.0,-0.09375
0.0,2,0.01171875,0.0078125,0.015625,0.00390625,0.0
0.0,2,0.01953125,0.015625,0.0234375,0.00390625,-0.078125
0.0,1,0.046875,0.046875,0.046875,0.0,-0.0234375
0.0,1,0.0234375,0.0234375,0.0234375,0.0,0.015625
0.0,2,0.02734375,0.0234375,0.03125,0.00390625,0.046875
0.0,2,0.00390625,0.0,0.0078125,0.00390625,-0.09375
0.0,2,0.0390625,0.03125,0.046875,0.0078125,-0.1015625
0.0,2,0.0390625,0.0390625,0.0390625,0.0,-0.0390625
0.0,2,0.03125,0.0234375,0.0390625,0.0078125,0.0625
0.0,2,0.01171875,0.0078125,0.015625,0.00390625,-0.0078125
0.0,2,0.01171875,0.0078125,0.015625,0.00390625,-0.0390625
0.0,2,0.0234375,0.015625,0.03125,0.0078125,0.0078125
0.0,2,0.015625,0.0078125,0.0234375,0.0078125,-0.078125
0.0,2,0.01953125,0.015625,0.0234375,0.00390625,-0.03125
0.0,1,0.0078125,0.0078125,0.0078125,0.0,-0.0703125
0.0,2,0.00390625,0.0,0.0078125,0.00390625,-0.0703125
0.0,2,0.015625,0.0078125,0.0234375,0.0078125,-0.1484375
0.0,2,0.03125,0.03125,0.03125,0.0,0.0
0.0,2,0.00390625,0.0,0.0078125,0.00390625,-0.046875
0.0,2,0.015625,0.0078125,0.0234375,0.0078125,-0.015625
0.0,2,0.0078125,0.0,0.015625,0.0078125,-0.15625
0.0,2,0.0078125,0.0,0.015625,0.0078125,0.0234375
0.0,2,0.0234375,0.015625,0.03125,0.0078125,0.046875
0.0,2,0.01171875,0.0,0.0234375,0.01171875,0.0078125
0.0,1,0.046875,0.046875,0.046875,0.0,-0.0078125
0.0,2,0.00390625,0.0,0.0078125,0.00390625,-0.0859375
0.0,2,0.01171875,0.0078125,0.015625,0.00390625,-0.0390625
0.0,2,0.0234375,0.0234375,0.0234375,0.0,-0.0546875
0.0,2,0.015625,0.015625,0.015625,0.0,-0.0859375
0.0,2,0.0234375,0.0234375,0.0234375,0.0,-0.078125
0.0,2,0.0078125,0.0078125,0.0078125,0.0,-0.0703125
0.0,2,0.03515625,0.03125,0.0390625,0.00390625,0.046875
0.0,2,0.046875,0.0390625,0.0546875,0.0078125,-0.046875
0.0,2,0.046875,0.046875,0.046875,0.0,-0.0546875
0.0,2,0.0078125,0.0078125,0.0078125,0.0,0.0078125
0.0,2,0.03515625,0.03125,0.0390625,0.00390625,-0.09375
0.0,2,0.00390625,0.0,0.0078125,0.00390625,0.0234375
0.0,1,0.0390625,0.0390625,0.0390625,0.0,0.0
0.0,1,0.03125,0.03125,0.03125,0.0,-0.046875
0.0,2,0.0390625,0.03125,0.046875,0.0078125,-0.1015625
0.0,2,0.015625,0.015625,0.015625,0.0,-0.015625
0.0,2,0.01953125,0.015625,0.0234375,0.00390625,-0.0625
0.0,2,0.0234375,0.0234375,0.0234375,0.0,-0.015625
0.0,2,0.06640625,0.0625,0.0703125,0.00390625,-0.0546875
0.0,2,0.01171875,0.0078125,0.015625,0.00390625,0.03125
0.0,2,0.0078125,0.0078125,0.0078125,0.0,0.0
0.0,2,0.03125,0.03125,0.03125,0.0,-0.0703125
0.0,2,0.015625,0.0078125,0.0234375,0.0078125,0.0234375
0.0,1,0.015625,0.015625,0.015625,0.0,0.0078125
0.0,2,0.015625,0.015625,0.015625,0.0,-0.078125
0.0,2,0.0234375,0.0234375,0.0234375,0.0,-0.0546875
0.0,2,0.0078125,0.0078125,0.0078125,0.0,-0.015625
0.0,2,0.015625,0.0078125,0.0234375,0.0078125,-0.03125
0.0,2,0.0234375,0.015625,0.03125,0.0078125,0.0078125
0.0,2,0.04296875,0.03125,0.0546875,0.01171875,0.0234375
0.0,2,0.01171875,0.0078125,0.015625,0.00390625,-0.0859375
0.0,2,0.01953125,0.015625,0.0234375,0.00390625,-0.0859375
0.0,1,0.046875,0.046875,0.046875,0.0,-0.125
0.0,2,0.015625,0.015625,0.015625,0.0,-0.0390625
0.0,2,0.00390625,0.0,0.0078125,0.00390625,-0.03125
0.0,2,0.0078125,0.0078125,0.0078125,0.0,-0.0390625
0.0,1,0.0,0.0,0.0,0.0,0.0
0.0,2,0.0546875,0.046875,0.0625,0.0078125,-0.0703125
0.0,2,0.0078125,0.0078125,0.0078125,0.0,-0.0078125
0.0,2,0.0390625,0.0390625,0.0390625,0.0,0.0078125
0.0,2,0.0078125,0.0,0.015625,0.0078125,-0.046875
0.0,2,0.03125,0.0234375,0.0390625,0.0078125,-0.046875
0.0,2,0.015625,0.015625,0.015625,0.0,-0.0078125
0.0,2,0.00390625,0.0,0.0078125,0.00390625,-0.0234375
0.0,2,0.03515625,0.03125,0.0390625,0.00390625,-0.015625
0.0,2,0.0,0.0,0.0,0.0,-0.046875
0.0,2,0.03515625,0.0234375,0.046875,0.01171875,-0.0859375
0.0,1,0.0,0.0,0.0,0.0,-0.0390625
0.0,2,0.0234375,0.0234375,0.0234375,0.0,-0.0859375
0.0,2,0.02734375,0.0234375,0.03125,0.00390625,-0.0546875
0.0,2,0.0078125,0.0,0.015625,0.0078125,-0.0078125
0.0,2,0.00390625,0.0,0.0078125,0.00390625,-0.03125
0.0,2,0.0078125,0.0078125,0.0078125,0.0,0.046875
0.0,2,0.01171875,0.0078125,0.015625,0.00390625,-0.125
0.0,2,0.01171875,0.0078125,0.015625,0.00390625,-0.0546875
0.0,2,0.00390625,0.0,0.0078125,0.00390625,0.015625
0.0,2,0.01171875,0.0078125,0.015625,0.00390625,-0.03125
0.0,1,0.0234375,0.0234375,0.0234375,0.0,-0.015625
0.0,2,0.0,0.0,0.0,0.0,-0.015625
0.0,2,0.01953125,0.015625,0.0234375,0.00390625,-0.0703125
0.0,2,0.03125,0.0234375,0.0390625,0.0078125,-0.0546875
0.0,1,0.046875,0.046875,0.046875,0.0,-0.03125
0.0,2,0.00390625,0.0,0.0078125,0.00390625,-0.09375
0.0,1,0.0390625,0.0390625,0.0390625,0.0,-0.046875
0.0,2,0.01171875,0.0078125,0.015625,0.00390625,-0.0625
0.0,2,0.02734375,0.0234375,0.03125,0.00390625,-0.0390625
0.0,2,0.0,0.0,0.0,0.0,0.015625
0.0,2,0.01171875,0.0078125,0.015625,0.00390625,-0.09375
0.0,2,0.0078125,0.0078125,0.0078125,0.0,-0.0703125
0.0,2,0.015625,0.015625,0.015625,0.0,-0.0703125
0.0,2,0.01171875,0.0,0.0234375,0.01171875,0.0
0.0,2,0.00390625,0.0,0.0078125,0.00390625,-0.015625
0.0,2,0.03515625,0.03125,0.0390625,0.00390625,-0.1015625
0.0,1,0.03125,0.03125,0.03125,0.0,-0.0390625
0.0,1,0.0390625,0.0390625,0.0390625,0.0,-0.0703125
0.0,2,0.02734375,0.0234375,0.03125,0.00390625,-0.0625
0.0,2,0.02734375,0.0234375,0.03125,0.00390625,-0.1171875
0.0,2,0.03515625,0.03125,0.0390625,0.00390625,-0.046875
0.0,2,0.01171875,0.0078125,0.015625,0.00390625,-0.0234375
0.0,2,0.01953125,0.015625,0.0234375,0.00390625,0.0078125
0.0,2,0.0078125,0.0,0.015625,0.0078125,-0.0234375
0.0,2,0.00390625,0.0,0.0078125,0.00390625,-0.109375
0.0,2,0.015625,0.0078125,0.0234375,0.0078125,-0.078125
0.0,2,0.015625,0.0078125,0.0234375,0.0078125,0.0078125
0.0,2,0.02734375,0.0234375,0.03125,0.00390625,-0.0703125
0.0,1,0.0,0.0,0.0,0.0,-0.0390625
0.0,2,0.01953125,0.015625,0.0234375,0.00390625,0.0
0.0,2,0.0078125,0.0,0.015625,0.0078125,-0.09375
0.0,2,0.01171875,0.0,0.0234375,0.01171875,-0.0703125
0.0,2,0.0,0.0,0.0,0.0,-0.0546875
0.0,2,0.0234375,0.0234375,0.0234375,0.0,-0.046875
0.0,2,0.01171875,0.0078125,0.015625,0.00390625,-0.015625
0.0,2,0.015625,0.015625,0.015625,0.0,-0.0625
0.0,2,0.01171875,0.0078125,0.015625,0.00390625,-0.0625
0.2,2,0.19921875,0.1953125,0.203125,0.00390625,-0.0390625
0.2,2,0.2578125,0.25,0.265625,0.0078125,-0.0546875
0.2,2,0.16015625,0.15625,0.1640625,0.00390625,-0.0625
0.2,1,0.1796875,0.1796875,0.1796875,0.0,-0.15625
0.2,2,0.21875,0.21875,0.21875,0.0,-0.0703125
0.2,2,0.20703125,0.203125,0.2109375,0.00390625,0.015625
0.2,1,0.203125,0.203125,0.203125,0.0,-0.140625
0.2,2,0.21484375,0.2109375,0.21875,0.00390625,-0.0546875
0.2,1,0.2578125,0.2578125,0.2578125,0.0,-0.0390625
0.2,2,0.24609375,0.2421875,0.25,0.00390625,-0.0546875
0.2,2,0.25390625,0.25,0.2578125,0.00390625,-0.0859375
0.2,1,0.2578125,0.2578125,0.2578125,0.0,-0.1484375
0.2,2,0.203125,0.203125,0.203125,0.0,-0.046875
0.2,2,0.25,0.25,0.25,0.0,-0.1015625
0.2,2,0.23828125,0.234375,0.2421875,0.00390625,-0.125
0.2,2,0.20703125,0.203125,0.2109375,0.00390625,-0.109375
0.2,2,0.1875,0.1796875,0.1953125,0.0078125,-0.0390625
0.2,2,0.2265625,0.21875,0.234375,0.0078125,-0.09375
0.2,2,0.2109375,0.203125,0.21875,0.0078125,-0.09375
0.2,2,0.17578125,0.171875,0.1796875,0.00390625,-0.1484375
0.2,2,0.21875,0.21875,0.21875,0.0,-0.0625
0.2,2,0.21875,0.2109375,0.2265625,0.0078125,0.0078125
0.2,2,0.19140625,0.1875,0.1953125,0.00390625,-0.1328125
0.2,2,0.234375,0.234375,0.234375,0.0,-0.09375
0.2,2,0.20703125,0.203125,0.2109375,0.00390625,-0.109375
0.2,2,0.23828125,0.234375,0.2421875,0.00390625,-0.1015625
0.2,2,0.20703125,0.1953125,0.21875,0.01171875,-0.0546875
0.2,2,0.22265625,0.21875,0.2265625,0.00390625,0.0078125
0.2,2,0.21875,0.2109375,0.2265625,0.0078125,-0.0859375
0.2,2,0.25390625,0.25,0.2578125,0.00390625,-0.09375
0.2,2,0.21484375,0.2109375,0.21875,0.00390625,-0.078125
0.2,2,0.265625,0.2578125,0.2734375,0.0078125,-0.09375
0.2,2,0.23046875,0.2265625,0.234375,0.00390625,-0.078125
0.2,2,0.16796875,0.1640625,0.171875,0.00390625,-0.140625
0.2,2,0.23046875,0.2265625,0.234375,0.00390625,-0.140625
0.2,2,0.17578125,0.171875,0.1796875,0.00390625,-0.109375
0.2,2,0.21484375,0.203125,0.2265625,0.01171875,-0.125
0.2,1,0.2421875,0.2421875,0.2421875,0.0,-0.046875
0.2,2,0.2265625,0.21875,0.234375,0.0078125,-0.015625
0.2,2,0.19921875,0.1953125,0.203125,0.00390625,-0.1171875
0.2,2,0.18359375,0.1796875,0.1875,0.00390625,-0.078125
0.2,2,0.234375,0.234375,0.234375,0.0,-0.0546875
0.2,2,0.25390625,0.25,0.2578125,0.00390625,-0.140625
0.2,2,0.17578125,0.171875,0.1796875,0.00390625,-0.09375
0.2,2,0.23046875,0.2265625,0.234375,0.00390625,-0.0625
0.2,2,0.18359375,0.1796875,0.1875,0.00390625,-0.078125
