p_a,SpinGlass
0.16666666666666666,-60.0
0.16666666666666666,-56.0
0.16666666666666666,-60.0
0.16666666666666666,-64.0
0.16666666666666666,-56.0
0.16666666666666666,-56.0
0.16666666666666666,-56.0
0.16666666666666666,-56.0
0.16666666666666666,-60.0
0.16666666666666666,-60.0
0.16666666666666666,-60.0
0.16666666666666666,-56.0
0.16666666666666666,-64.0
0.16666666666666666,-60.0
0.16666666666666666,-56.0
0.16666666666666666,-56.0
0.16666666666666666,-56.0
0.16666666666666666,-56.0
0.16666666666666666,-56.0
0.16666666666666666,-56.0
0.16666666666666666,-60.0
0.16666666666666666,-56.0
0.16666666666666666,-56.0
0.16666666666666666,-56.0
0.16666666666666666,-60.0
0.16666666666666666,-52.0
0.16666666666666666,-56.0
0.16666666666666666,-56.0
0.16666666666666666,-60.0
0.16666666666666666,-56.0
0.16666666666666666,-60.0
0.16666666666666666,-60.0
0.16666666666666666,-56.0
0.16666666666666666,-56.0
0.16666666666666666,-64.0
0.16666666666666666,-56.0
0.16666666666666666,-60.0
0.16666666666666666,-56.0
0.16666666666666666,-60.0
0.16666666666666666,-60.0
0.16666666666666666,-60.0
0.16666666666666666,-56.0
0.16666666666666666,-64.0
0.16666666666666666,-60.0
0.16666666666666666,-60.0
0.16666666666666666,-60.0
0.16666666666666666,-60.0
0.16666666666666666,-60.0
0.16666666666666666,-60.0
0.16666666666666666,-60.0
0.16666666666666666,-56.0
0.16666666666666666,-60.0
0.16666666666666666,-64.0
