length,p_a
20.0,0.6
20.0,0.6
30.0,0.6
30.0,0.6
20.0,0.6
10.0,0.6
20.0,0.6
60.0,0.6
20.0,0.6
60.0,0.6
2.0,0.6
60.0,0.6
20.0,0.6
20.0,0.6
20.0,0.6
60.0,0.6
20.0,0.6
4.0,0.6
20.0,0.6
20.0,0.6
10.0,0.6
6.0,0.6
12.0,0.6
4.0,0.6
20.0,0.6
20.0,0.6
12.0,0.6
20.0,0.6
4.0,0.6
12.0,0.6
60.0,0.6
6.0,0.8
2.0,0.8
6.0,0.8
6.0,0.8
6.0,0.8
2.0,0.8
2.0,0.8
6.0,0.8
6.0,0.8
6.0,0.8
6.0,0.8
6.0,0.8
6.0,0.8
6.0,0.8
6.0,0.8
6.0,0.8
6.0,0.8
6.0,0.8
6.0,0.8
6.0,0.8
6.0,0.8
2.0,0.8
6.0,0.8
6.0,0.8
2.0,0.8
6.0,0.8
6.0,0.8
2.0,0.8
6.0,0.8
6.0,0.8
6.0,0.8
6.0,0.8
6.0,0.8
6.0,0.8
6.0,0.8
6.0,0.8
6.0,0.8
6.0,0.8
6.0,0.8
6.0,0.8
6.0,0.8
2.0,0.8
2.0,0.8
6.0,0.8
2.0,0.8
2.0,0.8
6.0,0.8
6.0,0.8
6.0,0.8
6.0,0.8
6.0,0.8
6.0,0.8
6.0,0.8
2.0,0.8
6.0,0.8
6.0,0.8
6.0,0.8
6.0,0.8
6.0,0.8
6.0,0.8
6.0,0.8
6.0,0.8
6.0,0.8
6.0,0.8
6.0,0.8
6.0,0.8
6.0,0.8
2.0,0.8
6.0,0.8
6.0,0.8
6.0,0.8
2.0,0.8
2.0,0.8
2.0,0.8
2.0,0.8
6.0,0.8
6.0,0.8
6.0,0.8
2.0,0.8
6.0,0.8
2.0,0.8
6.0,0.8
6.0,0.8
6.0,0.8
6.0,0.8
6.0,0.8
2.0,0.8
2.0,0.8
6.0,0.8
6.0,0.8
6.0,0.8
2.0,0.8
6.0,0.8
6.0,0.8
6.0,0.8
6.0,0.8
6.0,0.8
6.0,0.8
6.0,0.8
2.0,0.8
2.0,0.8
6.0,0.8
6.0,0.8
2.0,0.8
6.0,0.8
6.0,0.8
6.0,0.8
6.0,0.8
6.0,0.8
6.0,0.8
6.0,0.8
6.0,0.8
6.0,0.8
6.0,0.8
6.0,0.8
2.0,0.8
6.0,0.8
2.0,0.8
6.0,0.8
2.0,0.8
6.0,0.8
6.0,0.8
6.0,0.8
6.0,0.8
6.0,0.8
6.0,0.8
6.0,0.8
6.0,0.8
6.0,0.8
6.0,0.8
6.0,0.8
6.0,0.8
6.0,0.8
6.0,0.8
6.0,0.8
2.0,0.8
6.0,0.8
6.0,0.8
6.0,0.8
6.0,0.8
6.0,0.8
6.0,0.8
6.0,0.8
6.0,0.8
2.0,0.8
2.0,0.8
2.0,0.8
6.0,0.8
6.0,0.8
6.0,0.8
